cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10
,,,,,UBN1,MMP28,ATP2A1,TEX45,
,,,,,PMM2,C17orf50,BOLA2,CTXN1,
,,,,,CIITA,ZNHIT3,ASPHD1,ELAVL1,
,,,,,CLEC16A,AATF,MYLPF,HNRNPM,
,,,,,ERCC4,PNMT,ZNF48,ZNF121,
,,,,,BFAR,PGAP3,ZNF747,MRPL4,
,,,,,PDXDC1,GSDMB,ZNF764,RAVER1,
,,,,,XYLT1,ORMDL3,MIR762HG,ILF3,
,,,,,NOMO2,CSF3,SETD1A,QTRT1,
,,,,,ARL6IP1,CCR7,FUS,KANK2,
,,,,,SMG1,TMEM99,TGFB1I1,ZNF823,
,,,,,THUMPD1,FKBP10,C16orf87,ZNF491,
,,,,,TMEM159,COASY,SIAH1,ZNF440,
,,,,,NPIPB3,VPS25,CHD9,ZNF625,
,,,,,NPIPB4,COA3,NUP93,ZNF443,
,,,,,MOSMO,ARL4D,CIAPIN1,FBXW9,
,,,,,NPIPB5,ASB16-AS1,CCDC102A,TNPO2,
,,,,,COG7,RUNDC3A-AS1,ADGRG5,KLF1,
,,,,,TNRC6A,FAM171A2,DRC7,GCDH,
,,,,,ARHGAP17,CCDC43,CNOT1,FARSA,
,,,,,ZKSCAN2-DT,ADAM11,B3GNT9,GADD45GIP1,
,,,,,EIF3C,EFTUD2,PLEKHG4,ILVBL,
,,,,,ATXN2L,ACBD4,KCTD19,HSH2D,
,,,,,SH2B1,MAP3K14-AS1,CARMIL2,C19orf44,
,,,,,LAT,FAM215B,CENPT,GTPBP3,
,,,,,PAGR1,TBKBP1,NUTF2,RPL18A,
,,,,,TBX6,OSBPL7,EDC4,LSM4,
,,,,,CD2BP2,MRPL10,PSKH1,ISYNA1,
,,,,,CD2BP2-DT,LRRC46,PRMT7,ARMC6,
,,,,,SEPHS2,PNPO,COG8,SLC25A42,
,,,,,ZNF785,CBX1,NIP7,TMEM161A,
,,,,,PRR14,HOXB2,NOB1,YJEFN3,
,,,,,FBRS,NGFR,PDPR,ZNF14,
,,,,,SRCAP,TMEM92,EXOSC6,ZNF93,
,,,,,PHKG2,MRPL27,DDX19A,ZNF90,
,,,,,RNF40,ACSF2,VAC14-AS1,ZNF486,
,,,,,ORAI3,SPATA20,ZNF23,ZNF66,
,,,,,KAT8,ANKRD40CL,WDR59,ZNF85,
,,,,,PRSS36,MMD,ZNRF1,ZNF431,
,,,,,ZNF720,C17orf67,ZFP1,ZNF738,
,,,,,VPS35,NACA2,KARS,ZNF43,
,,,,,PHKB,ACE,MAFTRR,ZNF257,
,,,,,LONP2,DCAF7,DYNLRB2,ZNF730,
,,,,,CYLD,SMARCD2,CMC2,ZNF681,
,,,,,LPCAT2,GH1,KLHDC4,ZNF726,
,,,,,FAM192A,CD79B,SNAI3-AS1,ZNF254,
,,,,,RSPRY1,SCN4A,PIEZO1,URI1,
,,,,,ARL2BP,PRR29-AS1,APRT,ZNF507,
,,,,,PLLP,SNHG25,CBFA2T3,DPY19L3,
,,,,,CSNK2A2,LRRC37A3,MRM3,PDCD5,
,,,,,CKLF,RGS9,YWHAE,ANKRD27,
,,,,,CMTM1,CEP112,PITPNA-AS1,CEBPA,
,,,,,CMTM2,ABCA9-AS1,PRPF8,CEBPA-DT,
,,,,,CIAO2B,SDK2,SMG6,PDCD2L,
,,,,,CBFB,GPRC5C,ASPA,UBA2,
,,,,,FBXL8,SLC9A3R1,TRPV1,WTIP,
,,,,,LRRC29,NAT9,SHPK,GAPDHS,
,,,,,CTCF,FDXR,P2RX5,CLIP3,
,,,,,PARD6A,MRPL58,CYB5D2,POLR2I,
,,,,,RANBP10,JPT1,SPNS3,COX7A1,
,,,,,THAP11,SUMO2,SPNS2,ZNF566,
,,,,,PSMB10,MIF4GD,ZNF594,ZNF529,
,,,,,NFATC3,TMEM94,RABEP1,ZNF382,
,,,,,SLC7A6OS,LLGL2,RPAIN,ZNF461,
,,,,,DERPC,SRP68,PITPNM3,ZNF790-AS1,
,,,,,CHTF8,RNF157,KIAA0753,ZNF829,
,,,,,VPS4A,PRPSAP1,BCL6B,ZNF875,
,,,,,TMED6,PRCD,ELP5,ZFP30,
,,,,,COG4,METTL23,CHRNB1,DPF1,
,,,,,CMTR2,SNHG20,RNF227,SPRED3,
,,,,,TAT-AS1,TNRC6C,KCNAB3,SARS2,
,,,,,IST1,TMC8,RANGRF,MRPS12,
,,,,,TXNL4B,EIF4A3,KRBA2,RPS16,
,,,,,DHX38,CHMP6,RPL26,TIMM50,
,,,,,TMEM170A,TSPAN10,CCDC42,CLC,
,,,,,ADAT1,PDE6G,NTN1,SNRPA,
,,,,,ATMIN,OXLD1,MYH3,EXOSC5,
,,,,,GAN,ANAPC11,SCO1,RPS19,
,,,,,CDH13,ASPSCR1,TMEM220-AS1,GRIK5,
,,,,,HSBP1,GPS1,ELAC2,ZNF574,
,,,,,MLYCD,CD7,COX10,PAFAH1B3,
,,,,,MBTPS1,HEXD-IT1,ZNF286A,MEGF8,
,,,,,USP10,NARF,TTC19,ZNF428,
,,,,,EMC8,FN3K,PIGL,EXOC3L2,
,,,,,MTHFSD,ADCYAP1,UBB,CD3EAP,
,,,,,BANP,METTL4,MPRIP,SNRPD2,
,,,,,ZC3H18,DLGAP1-AS1,MED9,QPCTL,
,,,,,MVD,L3MBTL4,SMCR2,IRF2BP1,
,,,,,ACSF3,NDUFV2,RAI1,SLC1A5,
,,,,,ANKRD11,RALBP1,SMCR5,ARHGAP35,
,,,,,SPATA2L,TUBB6,SLC5A10,NPAS1,
,,,,,ZNF276,ESCO1,NLK,GRWD1,
,,,,,SPIRE2,ANKRD29,POLDIP2,BCAT2,
,,,,,TCF25,LAMA3,TRAF4,RPL13A,
,,,,,SCARF1,TTC39C,ERAL1,RPS11,
,,,,,SERPINF2,HRH4,DHRS13,PRMT1,
,,,,,SMYD4,ZNF521,MYO18A,FUZ,
,,,,,RTN4RL1,DSG3,TP53I13,C19orf81,
,,,,,SGSM2,RNF125,CORO6,ZNF649,
,,,,,CTNS,PSTPIP2,EFCAB5,ZNF888,
,,,,,NCBP3,SNHG22,SLC6A4,ZNF525,
,,,,,UBE2G1,CFAP53,NF1,ZNF813,
,,,,,GP1BA,ELAC1,LRRC37B,HSPBP1,
,,,,,SLC25A11,TCF4-AS2,C17orf75,UBE2S,
,,,,,RNF167,TXNL1,ZNF830,NAT14,
,,,,,SPAG7,SERPINB4,SLFN14,ZSCAN5A,
,,,,,DERL2,DSEL,AP2B1,ZNF548,
,,,,,C17orf100,CNDP1,TAF15,ZNF749,
,,,,,ACADVL,ZNF236-DT,TADA2A,ZNF550,
,,,,,PHF23,PLPP2,DUSP14,ZNF416,
,,,,,GPS2,MADCAM1,DDX52,ZIK1,
,,,,,NEURL4,GZMM,MRPL45,ZNF530,
,,,,,TMEM102,RNF126,SOCS7,ZNF134,
,,,,,POLR2A,MED16,MLLT6,ZNF551,
,,,,,SOX15,KISS1R,PIP4K2B,ZNF776,
,,,,,FXR2,ATP5F1D,RPL19,ZNF587B,
,,,,,TRAPPC1,PCSK4,ERBB2,ZNF256,
,,,,,TMEM107,BTBD2,PSMD3,ZNF329,
,,,,,STX8,PLEKHJ1,MED24,ZNF544,
,,,,,NCOR1,JSRP1,THRA,ZNF8,
,,,,,ZNF624,HMG20B,SMARCE1,ZNF497,
,,,,,CCDC144A,MRPL54,JUP,RPS5,
,,,,,MPRIP-AS1,MAP2K2,NT5C3B,ZNF584,
,,,,,SREBF1,CREB3L3,TTC25,ZNF132,
,,,,,DRC3,ANKRD24,C17orf113,SLC27A5,
,,,,,ATPAF2,FSD1,CAVIN1,C20orf96,
,,,,,GID4,HDGFL2,HSD17B1,ZCCHC3,
,,,,,PRPSAP2,TNFAIP8L1,AOC3,SOX12,
,,,,,DHRS7B,PTPRS,RPL27,SNRPB,
,,,,,TMEM11,HSD11B1L,G6PC3,NOP56,
,,,,,LGALS9,FUT6,UBTF,CPXM1,
,,,,,IFT20,NDUFA11,SLC4A1,MRPS26,
,,,,,TNFAIP1,VMAC,SLC25A39,BTBD3,
,,,,,PIGS,ALKBH7,DCAKD,MACROD2,
,,,,,KIAA0100,PSPN,KPNB1,NANP,
,,,,,SUPT6H,TUBB4A,SCRN2,RALY-AS1,
,,,,,PROCA1,SH2D3A,HOXB-AS2,TGIF2,
,,,,,FAM222B,ZNF557,HOXB4,TTI1,
,,,,,PHF12,CCL25,CALCOCO2,SRSF6,
,,,,,NUFIP2,NDUFA7,FAM117A,IFT52,
,,,,,GIT1,KANK3,KAT7,PKIG,
,,,,,TEFM,RAB11B-AS1,ITGA3,PABPC1L,
,,,,,ZNF207,ZNF414,SAMD14,TOMM34,
,,,,,PSMD11,ZNF559,SGCA,PLTP,
,,,,,GGNBP2,ZNF846,XYLT2,KCNB1,
,,,,,SYNRG,CDC37,RSAD1,PTGIS,
,,,,,CWC25,TMED1,LUC7L3,PARD6B,
,,,,,FBXL20,TIMM29,MBTD1,ZNF831,
,,,,,MED1,DOCK6,COX11,C20orf197,
,,,,,CDK12,ZNF763,HLF,LAMA5,
,,,,,NR1D1,ZNF20,DGKE,RPS21,
,,,,,CASC3,ZNF564,COIL,SLC17A9,
,,,,,KRT10,PRDX2,MRPS23,ZNF512B,
,,,,,ACLY,MAST1,DYNLL2,SAMD10,
,,,,,CNP,CACNA1A,OR4D1,C21orf91,
,,,,,DHX58,C19orf53,MKS1,RWDD2B,
,,,,,STAT5A,ADGRL1,TSPOAP1-AS1,MIS18A-AS1,
,,,,,NAGLU,NDUFB7,HSF5,CFAP298,
,,,,,TUBG2,NOTCH3,TRIM37,C21orf62,
,,,,,PSME3,PGLYRP2,DHX40,GART,
,,,,,NBR2,F2RL3,CYB561,RUNX1,
,,,,,CCDC200,BABAM1,TACO1,TTC3,
,,,,,TMEM101,PLVAP,DDX42,KCNJ6,
,,,,,LSM12,NIBAN3,FTSJ3,PSMG1,
,,,,,GPATCH8,SLC5A5,PSMC5,BRWD1-IT1,
,,,,,NMT1,CCDC124,PRR29,BACE2,
,,,,,HEXIM2,SSBP4,PSMD12,RRP1B,
,,,,,MAPT,UBA52,C17orf80,RRP1,
,,,,,KANSL1,REX1BD,RAB37,CFAP410,
,,,,,KANSL1-AS1,SUGP2,NT5C,SLC19A1,
,,,,,ARL17B,RFXANK,NUP85,PCBP3,
,,,,,LRRC37A2,HAPLN4,MRPS7,FTCD,
,,,,,ARL17A,TSSK6,ITGB4,MCM3AP-AS1,
,,,,,GOSR2,NDUFA13,TRIM47,PCNT,
,,,,,CDC27,UQCRFS1,EVPL,S100B,
,,,,,EFCAB13,ZNF302,UBE2O,MICAL3,
,,,,,CDK5RAP3,ZNF181,CYGB,PRODH,
,,,,,UBE2Z,FXYD3,MXRA7,GP1BB,
,,,,,SNF8,FXYD7,CBX2,RTL10,
,,,,,SPOP,CD22,CCDC137,CCDC188,
,,,,,SLC35B1,DMKN,ARL16,RTN4R,
,,,,,PDK2,RBM42,PCYT2,ZNF74,
,,,,,VEZF1,HCST,DCXR,THAP7-AS1,
,,,,,MTMR4,SDHAF1,CCDC57,YDJC,
,,,,,GDPD1,SYNE4,HEXD,YPEL1,
,,,,,PTRH2,ZFP14,DLGAP1,BCR,
,,,,,TUBD1,ZNF790,PTPRM,IGLL1,
,,,,,RPS6KB1,ZNF585B,PPP4R1-AS1,ZNF70,
,,,,,RNFT1-DT,ZNF383,RNMT,VPREB3,
,,,,,HEATR6,ZNF573,GREB1L,C22orf15,
,,,,,APPBP2,SPINT2,MIR133A1HG,GGT5,
,,,,,PPM1D,PPP1R14A,IMPACT,CRYBB1,
,,,,,BCAS3,YIF1B,KCTD1,XBP1,
,,,,,MED13,C19orf33,DSG2,ZNRF3-AS1,
,,,,,TLK2,PSMD8,MAPRE2,EMID1,
,,,,,STRADA,EIF3K,ZSCAN30,EWSR1,
,,,,,CCDC47,LGALS7B,INO80C,NF2,
,,,,,ICAM2,ECH1,GALNT1,PATZ1,
,,,,,SMURF2,PSMC4,RPRD1A,FAM227A,
,,,,,BPTF,ZNF546,ELP2,TOMM22,
,,,,,AMZ2,ZNF780B,KIAA1328,RPL3,
,,,,,ABCA10,CNTD2,ATP5F1A,SYNGR1,
,,,,,ABCA5,LTBP4,PIAS2,ADSL,
,,,,,COG1,CYP2S1,HDHD2,SLC25A17,
,,,,,FAM104A,HNRNPUL1,IER3IP1,RANGAP1,
,,,,,KCTD2,B9D2,CXXC1,POLR3H,
,,,,,ATP5PD,BCKDHA,TCF4,OGFRP1,
,,,,,RECQL5,CEACAM21,FECH,RRP7A,
,,,,,GALK1,CD79A,ATP8B1,MCAT,
,,,,,H3F3B,ATP1A3,SERPINB3,EFCAB6,
,,,,,TEN1,CNFN,CDH7,RTL6,
,,,,,CDK3,LIPE,CCDC102B,GRAMD4,
,,,,,EXOC7,CEACAM1,SOCS6,ZBED4,
,,,,,QRICH2,PHLDB3,CYB5A,MLC1,
,,,,,SPHK1,XRCC1,TXNL4A,MAPK12,
,,,,,TNRC6C-AS1,ZNF576,POLRMT,PLCXD1,
,,,,,PGS1,SRRM5,CIRBP,PPP2R3B,
,,,,,USP36,KCNN4,FAM174C,P2RY8,
,,,,,CBX8,ZNF234,PWWP3A,ASB9,
,,,,,ENDOV,ZNF226,KLF16,PIR,
,,,,,ACTG1,ZNF233,SF3A2,CLTRN,
,,,,,MCRIP1,ZNF229,SPPL2B,CTPS2,
,,,,,RFNG,GEMIN7-AS1,SGTA,TXLNG,
,,,,,NARF-IT1,PPP1R37,ZNF554,SCML2,
,,,,,FOXK2,ERCC1,ZNF57,EIF1AX,
,,,,,TBCD,OPA3,ZNF77,CNKSR2,
,,,,,LPIN2,FOXA3,GNA15,KLHL34,
,,,,,MYL12B,EHD2,NCLN,MBTPS2,
,,,,,DLGAP1-AS2,ZSWIM9,NFIC,APOO,
,,,,,ZBTB14,CCDC114,SMIM24,KLHL15,
,,,,,NDUFV2-AS1,MAMSTR,DOHH,LANCL3,
,,,,,NAPG,RASIP1,GIPC3,BCOR,
,,,,,IMPA2,HSD17B14,TBXA2R,JADE3,
,,,,,SPIRE1,PLEKHA4,CACTIN,USP11,
,,,,,PSMG2,BAX,EEF2,EBP,
,,,,,CEP192,C19orf73,YJU2,GPR173,
,,,,,LDLRAD4,PIH1D1,TMIGD2,RIBC1,
,,,,,SS18,PRRG2,STAP2,HUWE1,
,,,,,RNF138,CTU1,FEM1A,FAM120C,
,,,,,ZNF397,SIGLECL1,MICOS13,USP51,
,,,,,ZNF24,ETFB,NRTN,ZXDB,
,,,,,ZNF396,CLDND2,CLPP,SPIN4,
,,,,,C18orf21,SIGLEC6,GTF2F1,ARHGEF9,
,,,,,SLC39A6,ZNF841,ARHGEF18,AMER1,
,,,,,PIK3C3,ZNF616,TIMM44,ZC4H2,
,,,,,EPG5,ZNF836,RPS28,AR,
,,,,,C18orf25,ZNF528-AS1,ZNF177,CXorf65,
,,,,,DYM,ZNF528,ZNF426,ZMYM3,
,,,,,ACAA2,ZNF578,ZNF426-DT,NONO,
,,,,,MBD1,ZNF600,ZNF561-AS1,RPS4X,
,,,,,SMAD4,ZNF415,ZNF562,TAF9B,
,,,,,POLI,NDUFA3,PIN1,ITM2A,
,,,,,NARS,TFPT,ANGPTL6,ZNF711,
,,,,,PMAIP1,RPS9,PPAN,CSTF2,
,,,,,VPS4B,TTYH1,P2RY11,RPL36A,
,,,,,TMX3,NLRP2,ICAM5,TCEAL9,
,,,,,CD226,RDH13,FDX2,BEX3,
,,,,,ZNF407,TNNI3,KEAP1,RAB40A,
,,,,,ZADH2,SYT5,KRI1,TCEAL4,
,,,,,TSHZ1,TMEM86B,YIPF2,TCEAL3,
,,,,,ZNF236,ZNF444,SMARCA4,TMSB15B,
,,,,,CTDP1,ZNF582,PRKCSH,TMSB15B-1,
,,,,,TPGS1,ZNF582-AS1,ECSIT,COL4A5,
,,,,,TMEM259,ZNF583,ZNF627,SERTM2,
,,,,,POLR2E,ZNF71,ZNF439,KLHL13,
,,,,,C19orf25,ZNF547,ZNF69,NKRF,
,,,,,REXO1,TRAPPC2B,ZNF700,RPL39,
,,,,,CSNK1G2,ZNF17,ZNF433-AS1,SH2D1A,
,,,,,LINGO3,ZNF324B,ZNF433,SMARCA1,
,,,,,TLE5,ZNF324,ZNF844,ZDHHC9,
,,,,,S1PR4,ZNF446,ZNF136,UTP14A,
,,,,,APBA3,ZBTB45,ZNF563,SLC25A14,
,,,,,PLIN3,MZF1,ZNF442,FIRRE,
,,,,,SAFB2,TRIB3,ZNF799,STK26,
,,,,,SAFB,CSNK2A1,ZNF709,HPRT1,
,,,,,CAPS,TMEM74B,WDR83,MIR503HG,
,,,,,RANBP3,SNPH,DHPS,MAP7D3,
,,,,,ZNF358,SDCBP2,RAD23A,RBMX,
,,,,,XAB2,SDCBP2-AS1,NFIX,CETN2,
,,,,,PET100,IDH3B,LYL1,HAUS7,
,,,,,RAB11B,OXT,MRI1,NAA10,
,,,,,PRAM1,AVP,NANOS3,HCFC1,
,,,,,ADAMTS10,FASTKD5,SAMD1,LAGE3,
,,,,,ZNF558,LZTS3,TECR,DKC1,
,,,,,ZNF317,SLC4A11,SYDE1,MTCP1,
,,,,,ZNF266,CDC25B,AKAP8,PCDH11Y,
,,,,,ZNF561,AP5S1,CHERP,MT-ATP8,
,,,,,FBXL12,SMOX,USE1,MT-ND4L,
,,,,,UBL5,ADRA1D,NR2F6,MT-ND5,
,,,,,SHFL,SHLD1,TMEM221,MT-ND6,
,,,,,EIF3G,TRMT6,UNC13A,GAD1,
,,,,,ICAM4,PLCB4,INSL3,PTH2R,
,,,,,ICAM3,ANKEF1,CRLF1,SHOX2,
,,,,,ATG4D,SNRPB2,DDX49,GABRB1,
,,,,,ILF3-DT,BFSP1,ATP13A1,UGT2B11,
,,,,,TSPAN16,POLR3F,ZNF506,PRRT1,
,,,,,TMEM205,SMIM26,ZNF253,SUGCT,
,,,,,ZNF653,APMAP,ZNF682,LRRN3,
,,,,,ELOF1,ABHD12,ZNF737,SYCE1,
,,,,,ZNF441,FAM182A,ZNF626,MKRN3,
,,,,,ZNF44,HM13-AS1,ZNF430,RGS9BP,
,,,,,ZNF490,MYLK2,ZNF708,HOXA13,
,,,,,ZNF791,NOL4L,ZNF493,PPP1R9A,
,,,,,WDR83OS,C20orf203,ZNF429,TSPAN9,
,,,,,TRIR,COMMD7,ZNF100,MGP,
,,,,,GET3,ACTL10,ZNF91,NPTX1,
,,,,,HOOK2,PXMP4,ZNF675,DANT2,
,,,,,TRMT1,RALY,PLEKHF1,CCDC192,
,,,,,NACC1,EIF2S2,CEP89,CT45A1,
,,,,,CCDC130,ITCH-AS1,FAAP24,CT45A5,
,,,,,DCAF15,PROCR,SCGB1B2P,PPP1R1C,
,,,,,MISP3,EIF6,ZNF599,DIRAS3,
,,,,,PTGER1,UQCC1,ZNF30,MPDZ,
,,,,,GIPC1,ERGIC3,ZNF792,LRRC4C,
,,,,,AKAP8L,CPNE1,LSR,GPR179,
,,,,,WIZ,ROMO1,TMEM147-AS1,AGXT,
,,,,,RASAL3,SCAND1,TMEM147,PCDHB16,
,,,,,TPM4,EPB41L1,ZNF146,MAB21L1,
,,,,,RAB8A,AAR2,ZFP82,FLNC,
,,,,,EPS15L1,MYL9,ZNF260,,
,,,,,DDA1,RPRD1B,ZNF529-AS1,,
,,,,,CCDC194,PPP1R16B,ZNF567,,
,,,,,BST2,PLCG1-AS1,ZNF345,,
,,,,,PGLS,ZHX3,ZNF568,,
,,,,,JAK3,CHD6,ZNF420,,
,,,,,PIK3R2,OSER1-DT,ZNF527,,
,,,,,JUND,TTPAL,ZNF569,,
,,,,,PGPEP1,KCNK15-AS1,ZNF570,,
,,,,,GDF15,WFDC2,ZNF793-AS1,,
,,,,,KXD1,WFDC3,ZNF793,,
,,,,,KLHL26,TNNC2,ZNF571-AS1,,
,,,,,COPE,ZSWIM3,ZNF540,,
,,,,,SUGP1,ZSWIM1,ZNF571,,
,,,,,MAU2,SLC12A5-AS1,ZNF781,,
,,,,,GATAD2A,SLC12A5,ZNF607,,
,,,,,ZNF101,SLC35C2,MAP4K1,,
,,,,,POP4,TP53RK,HNRNPL,,
,,,,,C19orf12,ZMYND8,PAK4,,
,,,,,GPATCH1,CEBPB-AS1,EID2B,,
,,,,,LSM14A,RIPOR3,PRX,,
,,,,,GRAMD1A,ADNP-AS1,DMAC2,,
,,,,,SCN1B,MOCS3,ZNF283,,
,,,,,FXYD5,ATP9A,ZNF404,,
,,,,,COX6B1,PRELID3B,ZNF45,,
,,,,,KMT2B,MIR646HG,ZNF221,,
,,,,,U2AF1L4,MIR1-1HG-AS1,ZNF222,,
,,,,,PSENEN,NTSR1,ZNF223,,
,,,,,LIN37,TCFL5,ZNF112,,
,,,,,PROSER3,DIDO1,ZNF285,,
,,,,,ALKBH6,HAR1A,ZNF180,,
,,,,,THAP8,FNDC11,NKPD1,,
,,,,,TBCB,TNFRSF6B,TRAPPC6A,,
,,,,,ZNF565,ARFRP1,CCDC61,,
,,,,,ZNF585A,LIME1,TMEM160,,
,,,,,SIPA1L3,UCKL1,KPTN,,
,,,,,ACTN4,PRPF6,NAPA-AS1,,
,,,,,CAPN12,C20orf204,NOP53,,
,,,,,PAF1,SOX18,TMEM143,,
,,,,,SUPT5H,TCEA2,RPL18,,
,,,,,EID2,MYT1,NTN5,,
,,,,,DYRK1B,RBM11,FUT2,,
,,,,,AKT2,HSPA13,SNRNP70,,
,,,,,NUMBL,NRIP1,PTOV1,,
,,,,,COQ8B,MIR99AHG,ZNF473,,
,,,,,C19orf54,CXADR,FAM71E1,,
,,,,,EGLN2,BTG3-AS1,ZNF175,,
,,,,,CCDC97,MIR155HG,ZNF350-AS1,,
,,,,,B3GNT8,JAM2,ZNF614,,
,,,,,CEACAM4,CYYR1,ZNF432,,
,,,,,RABAC1,URB1-AS1,ZNF766,,
,,,,,ZNF526,C21orf62-AS1,ZNF480,,
,,,,,ERF,OLIG2,ZNF610,,
,,,,,ETHE1,DNAJC28,ZNF880,,
,,,,,ZNF575,ATP5PO,ZNF320,,
,,,,,SMG9,HLCS,ZNF816,,
,,,,,ZNF155,BRWD1-AS2,ZNF347,,
,,,,,ZNF284,PRDM15,ZNF665,,
,,,,,ZNF224,ZNF295-AS1,ZNF677,,
,,,,,ZNF225,UMODL1-AS1,ZNF845,,
,,,,,ZNF227,ABCG1,ZNF765,,
,,,,,ZNF235,TFF3,ZNF761,,
,,,,,CLASRP,UBASH3A,ZNF331,,
,,,,,ZNF296,PDE9A,PRPF31,,
,,,,,SYMPK,PFKL,MBOAT7,,
,,,,,MYPOP,SUMO3,PPP6R1,,
,,,,,ZC3H4,COL6A1,TMEM238,,
,,,,,SELENOW,COL6A2,RPL28,,
,,,,,KDELR1,XKR3,ZNF579,,
,,,,,CYTH2,HDHD5-AS1,FIZ1,,
,,,,,SPHK2,PEX26,CCDC106,,
,,,,,GYS1,USP18,ZNF667,,
,,,,,ALDH16A1,DGCR6,ZNF667-AS1,,
,,,,,FLT3LG,SLC25A1,ZNF471,,
,,,,,NOSIP,C22orf39,ZFP28,,
,,,,,PRR12,MRPL40,ZNF470,,
,,,,,SCAF1,CLDN5,SMIM17,,
,,,,,IRF3,ARVCF,ZNF835,,
,,,,,PTOV1-AS1,SCARF2,AURKC,,
,,,,,PNKP,KLHL22,ZNF805,,
,,,,,AKT1S1,RIMBP3C,ZNF460-AS1,,
,,,,,VRK3,UBE2L3,ZNF460,,
,,,,,ZNF577,VPREB1,ZNF543,,
,,,,,ZNF613,RGL4,ZNF304,,
,,,,,ZNF350,MMP11,VN1R1,,
,,,,,ZNF615,DDT,ZNF772,,
,,,,,PPP2R1A,CABIN1,ZNF419,,
,,,,,ZNF808,LRRC75B,ZNF773,,
,,,,,ZNF701,MN1,ZNF549,,
,,,,,ZNF83,THOC5,ZNF154,,
,,,,,ZNF611,UQCR10,ZNF671,,
,,,,,ZNF28,OSBP2,ZNF586,,
,,,,,ZNF468,MORC2-AS1,ZNF814,,
,,,,,ZNF160,EIF4ENIF1,ZNF418,,
,,,,,CNOT3,RTCB,C19orf18,,
,,,,,LENG1,APOL4,ZNF606,,
,,,,,LENG8-AS1,TXN2,ZNF135,,
,,,,,KMT5C,IFT27,ZSCAN18,,
,,,,,ZNF628,TST,ERVK3-1,,
,,,,,ZNF784,C1QTNF6,ZNF837,,
,,,,,ZNF580,H1F0,UBE2M,,
,,,,,ZNF581,MICALL1,NRSN2-AS1,,
,,,,,U2AF2,DNAL4,TCF15,,
,,,,,ZNF787,APOBEC3D,SLC52A3,,
,,,,,ZNF264,APOBEC3F,ZNF343,,
,,,,,ZNF211,APOBEC3H,PCED1A,,
,,,,,ZNF552,MGAT3,ITPA,,
,,,,,ZNF587,MIEF1,RNF24,,
,,,,,ZNF417,RPS19BP1,CHGB,,
,,,,,ZNF274,GRAP2,SLX4IP,,
,,,,,ZSCAN22,RBX1,SPTLC3,,
,,,,,A1BG,L3MBTL2,TASP1,,
,,,,,MZF1-AS1,CHADL,ESF1,,
,,,,,RBCK1,PHF5A,NDUFAF5,,
,,,,,TBC1D20,PHETA2,DSTN,,
,,,,,PSMF1,NDUFA6-DT,PET117,,
,,,,,STK35,SERHL2,KAT14,,
,,,,,VPS16,PARVB,ZNF133,,
,,,,,PTPRA,PRR5,RBBP9,,
,,,,,UBOX5,CDPF1,DTD1,,
,,,,,DDRGK1,TTC38,NAA20,,
,,,,,MAVS,BRD1,KIZ,,
,,,,,TMEM230,DENND6B,NXT1,,
,,,,,CRLS1,SBF1,ACSS1,,
,,,,,PLCB1,ADM2,ZNF337-AS1,,
,,,,,MKKS,CHKB-DT,ZNF337,,
,,,,,JAG1,SHANK3,DUSP15,,
,,,,,RRBP1,CRLF2,PDRG1,,
,,,,,SNX5,IL3RA,ASXL1,,
,,,,,MGME1,CD99,DNMT3B,,
,,,,,CRNKL1,PCYT1B,GSS,,
,,,,,XRN2,DMD,CEP250,,
,,,,,NAPB,MED14,DLGAP4-AS1,,
,,,,,BCL2L1,KRBOX4,SLA2,,
,,,,,ABALON,ZNF674,RPN2,,
,,,,,CDK5RAP1,ZNF182,NNAT,,
,,,,,DYNLRB1,GATA1,SNHG11,,
,,,,,MYH7B,HDAC6,ACTR5,,
,,,,,TRPC4AP,PQBP1,DHX35,,
,,,,,EDEM2,SLC35A2,L3MBTL1,,
,,,,,RBM12,PIM2,ADA,,
,,,,,NFS1,PRAF2,PIGT,,
,,,,,RBM39,PPP1R3F,NEURL2,,
,,,,,PHF20,USP27X,ZNF334,,
,,,,,CNBD2,NUDT10,DDX27,,
,,,,,NORAD,NUDT11,ZFAS1,,
,,,,,NDRG3,HSD17B10,BCAS4,,
,,,,,SOGA1,TSR2,ADNP,,
,,,,,MANBAL,MAGED2,NFATC2,,
,,,,,CTNNBL1,APEX2,PFDN4,,
,,,,,TOP1,RRAGB,CSTF1,,
,,,,,SERINC3,NBDY,NELFCD,,
,,,,,ACOT8,FAAH2,CDH4,,
,,,,,PCIF1,ZC3H12B,ADRM1,,
,,,,,NCOA5,PJA1,STMN3,,
,,,,,RNF114,FAM155B,ZBTB46,,
,,,,,UBE2V1,CXCR3,GATD3B,,
,,,,,PTPN1,PIN4,MRPL39,,
,,,,,DPM1,HDAC8,ATP5PF,,
,,,,,ZFP64,NAP1L2,N6AMT1,,
,,,,,CASS4,JPX,CCT8,,
,,,,,RTF2,NEXMIF,SOD1,,
,,,,,VAPB,ZDHHC15,TCP10L,,
,,,,,GNAS,MAGEE1,PAXBP1,,
,,,,,TUBB1,COX7B,SETD4,,
,,,,,FAM217B,CYSLTR1,RIPPLY3,,
